,movie_name,movie_year,movie_runtime,movie_rating,movie_metascore,movie_genre,movie_votes,movie_gross,movie_certificate,movie_synopsis,gen_1,gen_2,gen_3
341,The Martian,2015,144,8,80,"Adventure, Drama, Sci-Fi            ","778,390",228.43,PG-13,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.",Adventure,Drama,Sci-Fi
374,The Bourne Ultimatum,2007,115,8,85,"Action, Mystery, Thriller            ","610,386",227.47,PG-13,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,Action,Mystery,Thriller
203,Logan,2017,137,8.1,77,"Action, Drama, Sci-Fi            ","668,642",226.28,R,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",Action,Drama,Sci-Fi
70,WALL·E,2008,98,8.4,95,"Animation, Adventure, Family            ","1,022,008",223.81,G,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",Animation,Adventure,Family
603,Big Hero 6,2014,102,7.8,74,"Animation, Action, Adventure            ","419,990",222.53,PG,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.",Animation,Action,Adventure
730,Mission: Impossible - Fallout,2018,147,7.7,86,"Action, Adventure, Thriller            ","300,482",220.16,PG-13,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",Action,Adventure,Thriller
411,Beauty and the Beast,1991,84,8,95,"Animation, Family, Fantasy            ","422,471",218.97,G,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,Animation,Family,Fantasy
233,How to Train Your Dragon,2010,98,8.1,75,"Animation, Action, Adventure            ","680,521",217.58,PG,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",Animation,Action,Adventure
409,Aladdin,1992,90,8,86,"Animation, Adventure, Comedy            ","380,156",217.35,G,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,Animation,Adventure,Comedy
24,Saving Private Ryan,1998,169,8.6,91,"Drama, War            ","1,266,191",216.54,R,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",Drama,War,
489,Bohemian Rhapsody,2018,134,7.9,49,"Biography, Drama, Music            ","471,622",216.43,PG-13,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",Biography,Drama,Music
913,A Star Is Born,2018,136,7.6,88,"Drama, Music, Romance            ","347,153",215.29,R,A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,Drama,Music,Romance
48,Back to the Future,1985,116,8.5,87,"Adventure, Comedy, Sci-Fi            ","1,085,512",210.61,PG,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",Adventure,Comedy,Sci-Fi
938,300,2006,117,7.6,52,"Action, Drama            ","746,195",210.61,R,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,Action,Drama,
65,Coco,2017,105,8.4,81,"Animation, Adventure, Drama            ","409,007",209.73,PG,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",Animation,Adventure,Drama
924,Sherlock Holmes,2009,128,7.6,57,"Action, Adventure, Mystery            ","592,584",209.03,PG-13,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,Action,Adventure,Mystery
158,Batman Begins,2005,140,8.2,70,"Action, Adventure            ","1,335,689",206.85,PG-13,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",Action,Adventure,
380,Ratatouille,2007,111,8,96,"Animation, Adventure, Comedy            ","655,833",206.45,G,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.,Animation,Adventure,Comedy
45,Terminator 2: Judgment Day,1991,137,8.5,75,"Action, Sci-Fi            ","1,013,389",204.84,R,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son, John Connor, from a more advanced and powerful cyborg.",Action,Sci-Fi,
778,Tangled,2010,100,7.7,71,"Animation, Adventure, Comedy            ","414,275",200.82,PG,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",Animation,Adventure,Comedy
325,Gone with the Wind,1939,238,8.1,97,"Drama, History, Romance            ","295,131",198.68,Passed,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,Drama,History,Romance
