Datos,Local,Marcador,Visita,Estadio
Sábado 20 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 1220 Marzo 2021 - 19:00 hrs.,Cruz Azul,3 - 2,Atlas,Azteca
Sábado 20 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 1220 Marzo 2021 - 20:06 hrs.,Tijuana,3 - 1,Gallos Blancos de Querétaro,Caliente
Domingo 21 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 1221 Marzo 2021 - 12:00 hrs.,Toluca,4 - 4,Puebla F.C.,Nemesio Diez
Domingo 21 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 1221 Marzo 2021 - 19:06 hrs.,Santos Laguna,1 - 2,León,TSM Corona
Viernes 2 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 132 Abril 2021 - 19:30 hrs.,Puebla F.C.,3 - 1,Mazatlán FC,Cuauhtémoc
Viernes 2 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 132 Abril 2021 - 21:30 hrs.,FC Juárez,0 - 1,Cruz Azul,Olímpico Benito Juárez
Sábado 3 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 133 Abril 2021 - 17:00 hrs.,Atlas,1 - 0,Tijuana,Jalisco
Sábado 3 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 133 Abril 2021 - 19:00 hrs.,América,2 - 1,Necaxa,Azteca
Sábado 3 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 133 Abril 2021 - 21:06 hrs.,Monterrey,2 - 0,Club Atlético de San Luis,Estadio BBVA
Domingo 4 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 134 Abril 2021 - 12:00 hrs.,PUMAS,2 - 2,Pachuca,Olímpico Universitario
Domingo 4 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 134 Abril 2021 - 17:00 hrs.,Guadalajara,1 - 1,Santos Laguna,Estadio AKRON
Domingo 4 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 134 Abril 2021 - 19:00 hrs.,Gallos Blancos de Querétaro,0 - 1,UANL,La Corregidora
Domingo 4 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 134 Abril 2021 - 21:05 hrs.,León,2 - 1,Toluca,Nou Camp
Viernes 9 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 149 Abril 2021 - 19:30 hrs.,Necaxa,0 - 1,PUMAS,Victoria
Viernes 9 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 149 Abril 2021 - 20:30 hrs.,FC Juárez,2 - 1,Club Atlético de San Luis,Olímpico Benito Juárez
Sábado 10 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 1410 Abril 2021 - 17:00 hrs.,Atlas,1 - 3,León,Jalisco
Sábado 10 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 1410 Abril 2021 - 19:00 hrs.,Cruz Azul,1 - 0,Guadalajara,Azteca
Sábado 10 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 1410 Abril 2021 - 21:05 hrs.,UANL,1 - 3,América,Universitario
Domingo 11 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 1411 Abril 2021 - 12:00 hrs.,Toluca,1 - 2,Monterrey,Nemesio Diez
Domingo 11 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 1411 Abril 2021 - 19:00 hrs.,Gallos Blancos de Querétaro,1 - 0,Santos Laguna,La Corregidora
Domingo 11 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 1411 Abril 2021 - 19:06 hrs.,Tijuana,2 - 3,Mazatlán FC,Caliente
Lunes 12 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 1412 Abril 2021 - 21:00 hrs.,Pachuca,1 - 3,Puebla F.C.,Hidalgo
Miércoles 14 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 514 Abril 2021 - 20:00 hrs.,FC Juárez,2 - 3,UANL,Olímpico Benito Juárez
Viernes 16 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 1516 Abril 2021 - 19:30 hrs.,Necaxa,0 - 0,Gallos Blancos de Querétaro,Victoria
Viernes 16 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 1516 Abril 2021 - 20:30 hrs.,Mazatlán FC,0 - 0,Atlas,Estadio Mazatlán
Sábado 17 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 1517 Abril 2021 - 17:00 hrs.,Club Atlético de San Luis,1 - 4,Puebla F.C.,Alfonso Lastras Ramírez
Sábado 17 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 1517 Abril 2021 - 19:00 hrs.,Guadalajara,2 - 0,Tijuana,Estadio AKRON
Sábado 17 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 1517 Abril 2021 - 21:05 hrs.,América,1 - 1,Cruz Azul,Azteca
Domingo 18 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 1518 Abril 2021 - 12:00 hrs.,PUMAS,0 - 0,UANL,Olímpico Universitario
Domingo 18 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 1518 Abril 2021 - 19:00 hrs.,Santos Laguna,3 - 1,Toluca,TSM Corona
Domingo 18 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 1518 Abril 2021 - 21:06 hrs.,Monterrey,0 - 1,Pachuca,Estadio BBVA
Lunes 19 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 1519 Abril 2021 - 21:00 hrs.,León,2 - 0,FC Juárez,Nou Camp
Miércoles 21 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 1221 Abril 2021 - 21:10 hrs.,Monterrey,1 - 2,Guadalajara,Estadio BBVA
Viernes 23 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 1623 Abril 2021 - 19:30 hrs.,Puebla F.C.,0 - 0,PUMAS,Cuauhtémoc
Viernes 23 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 1623 Abril 2021 - 19:06 hrs.,Tijuana,1 - 0,Necaxa,Caliente
Viernes 23 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 1623 Abril 2021 - 20:35 hrs.,Mazatlán FC,4 - 3,León,Estadio Mazatlán
Sábado 24 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 1624 Abril 2021 - 17:00 hrs.,Cruz Azul,3 - 2,Club Atlético de San Luis,Azteca
Sábado 24 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 1624 Abril 2021 - 19:00 hrs.,Atlas,0 - 1,Guadalajara,Jalisco
Sábado 24 de Abril de 2021Temporada 2020-2021Torneo ClausuraJornada 1624 Abril 2021 - 21:10 hrs.,UANL,2 - 1,Monterrey,Universitario
